feature_x,feature_y,correlation,p-value
Multiple Negative Constructions in SOV Languages (144M),Order of Person Markers on the Verb (104A),0.963932916061417,0.011186323001117734
Multiple Negative Constructions in SOV Languages (144M),Polar Questions (116A),0.8166707754427024,0.014618025443965612
Multiple Negative Constructions in SOV Languages (144M),Postverbal Negative Morphemes (143F),0.9999999999999999,7.814457702173317e-08
Multiple Negative Constructions in SOV Languages (144M),"Position of Negative Word With Respect to Subject, Object, and Verb (144A)",1.0,8.431015307198078e-06
Multiple Negative Constructions in SOV Languages (144M),Position of negative words relative to beginning and end of clause and with respect to adjacency to verb (144B),1.0,0.0010502997311105284
Multiple Negative Constructions in SOV Languages (144M),Preverbal Negative Morphemes (143E),1.0,7.81445770217331e-08
Multiple Negative Constructions in SOV Languages (144M),Order of Negative Morpheme and Verb (143A),1.0,8.809463620484897e-20
Multiple Negative Constructions in SOV Languages (144M),Minor morphological means of signaling negation (143G),1.0,0.0010151916508864608
Optional Double Negation in SVO languages (144G),Position of Case Affixes (51A),0.8818012981458833,0.004210863878776909
Optional Double Negation in SVO languages (144G),Optional Double Negation (143C),1.0,4.458822739640079e-17
Optional Double Negation in SVO languages (144G),"Order of Subject, Object and Verb (81A)",1.0,0.006221198178156622
Optional Double Negation in SVO languages (144G),Order of Subject and Verb (82A),1.0,0.006221198178156622
Optional Double Negation in SVO languages (144G),Order of Object and Verb (83A),1.0,0.0062211981781565935
Optional Double Negation in SVO languages (144G),Postverbal Negative Morphemes (143F),1.0,0.0062211981781565935
Optional Double Negation in SVO languages (144G),SVNegO Order (144J),1.0,4.131635362026789e-07
Optional Double Negation in SVO languages (144G),"Position of Negative Word With Respect to Subject, Object, and Verb (144A)",1.0,0.0002712205586857841
Optional Double Negation in SVO languages (144G),SNegVO Order (144I),1.0,5.311319728680945e-09
Optional Double Negation in SVO languages (144G),SVONeg Order (144K),1.0,0.00021241428506430437
Optional Double Negation in SVO languages (144G),Position of negative words relative to beginning and end of clause and with respect to adjacency to verb (144B),1.0,2.4904676441529268e-06
Optional Double Negation in SVO languages (144G),Preverbal Negative Morphemes (143E),1.0,1.3031620821171804e-05
Optional Double Negation in SVO languages (144G),NegSVO Order (144H),0.9999999999999999,0.0001225561851281143
Optional Double Negation in SVO languages (144G),Minor morphological means of signaling negation (143G),1.0,0.0062211981781565935
Obligatory Double Negation in SVO languages (144F),Position of Case Affixes (51A),0.8299679519998355,0.02634681313648491
Obligatory Double Negation in SVO languages (144F),"Order of Subject, Object and Verb (81A)",0.9999999999999999,8.550688539316902e-05
Obligatory Double Negation in SVO languages (144F),Order of Subject and Verb (82A),1.0,7.593263229199785e-08
Obligatory Double Negation in SVO languages (144F),Order of Object and Verb (83A),0.8632977579421393,0.00030388463109557086
Obligatory Double Negation in SVO languages (144F),Order of Genitive and Noun (86A),0.8663272336807802,0.002218817047396546
Obligatory Double Negation in SVO languages (144F),Order of Demonstrative and Noun (88A),0.7978704294697367,0.00987295846504039
Obligatory Double Negation in SVO languages (144F),Position of Interrogative Phrases in Content Questions (93A),0.9697343014375718,0.006962799262526579
Obligatory Double Negation in SVO languages (144F),Expression of Pronominal Subjects (101A),0.8900491559458948,0.028437536344906218
Obligatory Double Negation in SVO languages (144F),Postverbal Negative Morphemes (143F),1.0,7.576688572204176e-11
Obligatory Double Negation in SVO languages (144F),SVNegO Order (144J),1.0,4.791357300338064e-07
Obligatory Double Negation in SVO languages (144F),"Position of Negative Word With Respect to Subject, Object, and Verb (144A)",1.0,7.593263229199785e-08
Obligatory Double Negation in SVO languages (144F),SNegVO Order (144I),1.0,1.8864244199576087e-09
Obligatory Double Negation in SVO languages (144F),SVONeg Order (144K),0.9999999999999999,4.791357300338096e-07
Obligatory Double Negation in SVO languages (144F),Position of negative words relative to beginning and end of clause and with respect to adjacency to verb (144B),0.9999999999999999,0.0002637931374503845
Obligatory Double Negation in SVO languages (144F),Preverbal Negative Morphemes (143E),1.0,7.576688572204176e-11
Obligatory Double Negation in SVO languages (144F),Order of Negative Morpheme and Verb (143A),1.0,8.550688539316901e-05
Obligatory Double Negation in SVO languages (144F),NegSVO Order (144H),0.9999999999999999,0.00022147663824878433
Obligatory Double Negation in SVO languages (144F),Minor morphological means of signaling negation (143G),1.0,8.550688539316901e-05
Internally-headed relative clauses (90D),The Associative Plural (36A),0.8498365855987975,0.0025280685082316166
Internally-headed relative clauses (90D),Position of Case Affixes (51A),0.6474685627513154,1.6489591792180906e-07
Internally-headed relative clauses (90D),Conjunctions and Universal Quantifiers (56A),0.7453559924999299,0.016349087064448667
Internally-headed relative clauses (90D),Nominal and Verbal Conjunction (64A),0.7147563384655106,0.0018723725167264474
